X_0_0.24-,X_0_0.24+,X_0_0.31-,X_0_0.31+,X_0_0.37-,X_0_0.37+,X_0_0.43-,X_0_0.43+,X_0_0.5-,X_0_0.5+,X_0_0.6-,X_0_0.6+,X_0_0.64-,X_0_0.64+,X_0_0.69-,X_0_0.69+,X_0_0.74-,X_0_0.74+,X_1_0.34-,X_1_0.34+,X_1_0.38-,X_1_0.38+,X_1_0.41-,X_1_0.41+,X_1_0.44-,X_1_0.44+,X_1_0.47-,X_1_0.47+,X_1_0.51-,X_1_0.51+,X_1_0.55-,X_1_0.55+,X_1_0.6-,X_1_0.6+,X_1_0.74-,X_1_0.74+,X_2_0.48-,X_2_0.48+,X_3_0.5-,X_3_0.5+,X_4_0.37-,X_4_0.37+,X_4_0.41-,X_4_0.41+,X_4_0.43-,X_4_0.43+,X_4_0.46-,X_4_0.46+,X_4_0.5-,X_4_0.5+,X_4_0.52-,X_4_0.52+,X_4_0.56-,X_4_0.56+,X_4_0.58-,X_4_0.58+,X_4_0.65-,X_4_0.65+,X_5_0.24-,X_5_0.24+,X_5_0.3-,X_5_0.3+,X_5_0.35-,X_5_0.35+,X_5_0.39-,X_5_0.39+,X_5_0.46-,X_5_0.46+,X_5_0.53-,X_5_0.53+,X_5_0.66-,X_5_0.66+,X_5_0.74-,X_5_0.74+,X_5_0.79-,X_5_0.79+,X_6_0.27-,X_6_0.27+,X_6_0.33-,X_6_0.33+,X_6_0.36-,X_6_0.36+,X_6_0.39-,X_6_0.39+,X_6_0.43-,X_6_0.43+,X_6_0.49-,X_6_0.49+,X_6_0.66-,X_6_0.66+,X_6_0.74-,X_6_0.74+,X_6_0.8-,X_6_0.8+,y
0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0
0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0
0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0
0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0
0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
