X_0_-0.78-,X_0_-0.78+,X_0_-0.25-,X_0_-0.25+,X_0_-0.11-,X_0_-0.11+,X_0_0.03-,X_0_0.03+,X_0_0.2-,X_0_0.2+,X_0_0.44-,X_0_0.44+,X_0_0.84-,X_0_0.84+,X_1_-0.47-,X_1_-0.47+,X_1_-0.45-,X_1_-0.45+,X_1_-0.44-,X_1_-0.44+,X_1_-0.39-,X_1_-0.39+,X_1_-0.32-,X_1_-0.32+,X_1_-0.19-,X_1_-0.19+,X_1_0.09-,X_1_0.09+,X_1_0.88-,X_1_0.88+,X_2_-0.59-,X_2_-0.59+,X_2_-0.37-,X_2_-0.37+,X_2_-0.23-,X_2_-0.23+,X_2_-0.1-,X_2_-0.1+,X_2_0.08-,X_2_0.08+,X_2_0.36-,X_2_0.36+,X_2_0.81-,X_2_0.81+,X_3_-0.86-,X_3_-0.86+,X_3_0.39-,X_3_0.39+,X_3_0.7-,X_3_0.7+,X_3_0.95-,X_3_0.95+,X_3_1.31-,X_3_1.31+,X_4_-0.38-,X_4_-0.38+,X_4_0.23-,X_4_0.23+,X_4_0.96-,X_4_0.96+,X_5_-0.95-,X_5_-0.95+,X_5_0.72-,X_5_0.72+,X_5_0.93-,X_5_0.93+,X_5_1.1-,X_5_1.1+,X_5_1.26-,X_5_1.26+,y
0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0
0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0
0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0
0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0
0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
