race1;lsat;ugpa;gender;pass_bar;dnn_bar_pass_prediction
0;44;3.5;0;1;4
0;29;3.5;0;1;4
0;36;3.5;1;1;4
0;39;3.5;1;1;4
0;48;3.5;1;1;4
0;40;3.5;0;1;4
0;34;3.5;0;1;4
0;40;3.5;1;1;4
0;40;3.5;1;1;4
1;28;3.5;0;0;4
0;33;3.5;0;0;4
0;36;3.5;0;1;4
0;34;3.5;1;1;4
0;31;3.5;0;1;4
0;42;3.5;1;1;4
0;34;3.5;0;1;4
2;39;3.5;1;1;4
0;33;3.5;0;1;4
0;44;3.5;0;1;4
0;39;3.5;0;1;4
0;32;3.5;0;1;4
0;30;3.5;0;1;4
0;36;3.5;0;1;4
0;38;3.5;0;1;4
0;35;3.5;1;1;4
0;31;3.5;0;1;4
0;47;3.5;1;1;4
0;40;3.5;0;1;4
0;30;3.5;0;1;4
0;34;3.5;1;1;4
0;39;3.5;1;1;4
0;48;3.5;1;1;4
0;37;3.5;1;1;4
0;39;3.5;0;1;4
0;33;3.5;0;1;4
0;45;3.5;1;1;4
0;36;3.5;0;1;4
0;44;3.5;1;1;4
0;30.5;3.5;1;1;4
0;40;3.5;1;1;4
0;48;3.5;0;1;4
0;39;3.5;0;1;4
0;31;3.5;0;1;4
0;33.5;3.5;1;1;4
0;31;3.5;0;1;4
0;32;3.5;1;1;4
0;38;3.5;1;1;4
0;30;3.5;0;1;4
0;37;3.5;1;1;4
0;32;3.5;0;1;4
0;34;3.5;0;1;4
0;35;3.5;1;1;4
0;44;3.5;0;1;4
0;30.5;3.5;1;1;4
0;32;3.5;0;1;4
0;37;3.5;0;1;4
0;28;3.5;0;1;4
0;39;3.5;1;1;4
0;35;3.5;1;1;4
3;37;3.5;0;1;4
0;46;3.5;1;1;4
0;39;3.5;1;1;4
0;33;3.5;1;0;4
0;43;3.5;0;1;4
0;34;3.5;0;1;4
0;33;3.5;0;1;4
0;43;3.5;0;1;4
0;41;3.5;0;1;4
0;40;3.5;0;1;4
0;33;3.5;0;1;4
0;35;3.5;1;1;4
0;42;3.5;0;1;4
2;36;3.5;1;1;4
0;46;3.5;0;1;4
0;38;3.5;0;1;4
0;36;3.5;0;1;4
0;35;3.5;1;1;4
0;37;3.5;1;1;4
0;37.7;3.5;0;1;4
0;43;3.5;1;1;4
1;31;3.5;1;1;4
0;42;3.5;0;1;4
0;35;3.5;1;1;4
0;43.5;3.5;1;1;4
0;29;3.5;1;1;4
0;38;3.5;0;1;4
0;37;3.5;1;1;4
0;40;3.5;1;1;4
0;44;3.5;1;1;4
0;43;3.5;1;1;4
3;37;3.5;1;1;4
0;38;3.5;1;1;4
0;41;3.5;0;1;4
0;45;3.5;1;0;4
0;32.5;3.5;1;1;4
0;35;3.5;1;1;4
0;29;3.5;0;0;4
0;32;3.5;0;1;4
0;39;3.5;0;1;4
0;40;3.5;1;1;4
0;45;3.5;1;1;4
0;35;3.5;0;1;4
0;29;3.5;1;1;4
0;46;3.5;1;1;4
0;44;3.5;0;1;4
0;40;3.5;0;1;4
0;42;3.5;0;1;4
0;32;3.5;0;1;4
0;43;3.5;0;1;4
0;30.5;3.5;0;1;4
0;35;3.5;0;1;4
0;34;3.5;1;1;4
0;38;3.5;0;1;4
0;33;3.5;0;1;4
0;36;3.5;1;1;4
0;41;3.5;1;1;4
0;43;3.5;1;1;4
0;40;3.5;0;1;4
3;23.3;3.5;1;1;4
0;42;3.5;0;1;4
0;47;3.5;1;1;4
0;43;3.5;1;1;4
0;34;3.5;0;1;4
0;30;3.5;1;1;4
0;38;3.5;0;1;4
0;44;3.5;1;1;4
0;43;3.5;1;1;4
0;45;3.5;1;1;4
0;33;3.5;1;1;4
0;38;3.5;1;1;4
0;41;3.5;0;1;4
0;37;3.5;1;1;4
0;25;3.5;0;0;4
1;40;3.5;0;1;4
0;40;3.5;0;1;4
0;33;3.5;1;1;4
0;48;3.5;1;1;4
0;34;3.5;0;1;4
0;31.5;3.5;0;1;4
0;33;3.5;0;1;4
0;43;3.5;1;1;4
0;39;3.5;0;1;4
0;43;3.5;1;1;4
0;39;3.5;0;1;4
0;44;3.5;1;1;4
0;32;3.5;1;1;4
0;35;3.5;0;1;4
2;39.5;3.5;1;1;4
0;42;3.5;0;1;4
1;33;3.5;0;1;4
0;26;3.5;0;1;4
0;39;3.5;0;1;4
0;35.5;3.5;0;1;4
0;33;3.5;1;1;4
0;41;3.5;1;1;4
0;42;3.5;0;1;4
0;45;3.5;0;1;4
3;32;3.5;1;1;4
0;37;3.5;1;1;4
0;38;3.5;1;1;4
0;42;3.5;0;1;4
0;40;3.5;1;1;4
0;28;3.5;0;1;4
0;42;3.5;1;1;4
0;45;3.5;1;1;4
0;35;3.5;0;1;4
0;39;3.5;1;1;4
0;39;3.5;1;1;4
0;38;3.5;1;1;4
0;39;3.5;0;1;4
0;39;3.5;0;1;4
0;39;3.5;1;0;4
0;34;3.5;0;1;4
0;46;3.5;1;1;4
0;45;3.5;0;1;4
2;41;3.5;0;1;4
0;32;3.5;1;1;4
0;37;3.5;0;1;4
0;42;3.5;0;1;4
0;29;3.5;1;1;4
0;34;3.5;1;1;4
0;40;3.5;1;1;4
0;41;3.5;0;1;4
0;44;3.5;1;1;4
0;36;3.5;1;1;4
0;31;3.5;1;1;4
3;32.5;3.5;0;1;4
0;40;3.5;1;1;4
0;36;3.5;0;1;4
0;41;3.5;1;1;4
0;33;3.5;0;1;4
0;32;3.5;0;1;4
0;44;3.5;1;1;4
0;42;3.5;0;1;4
0;39;3.5;0;1;4
0;48;3.5;0;1;4
0;42;3.5;1;1;4
0;38;3.5;1;1;4
0;39;3.5;0;1;4
0;42;3.5;1;1;4
2;46;3.5;0;1;4
0;41;3.5;1;1;4
0;39;3.5;1;1;4
0;32;3.5;0;1;4
0;42;3.5;1;1;4
0;40;3.5;0;1;4
0;42;3.5;0;1;4
0;40.5;3.5;1;1;4
0;41;3.5;1;1;4
0;38;3.5;1;1;4
0;33;3.5;0;1;4
0;37;3.5;1;1;4
0;41;3.5;0;1;4
0;37;3.5;0;1;4
0;39.5;3.5;0;1;4
0;39;3.5;0;1;4
0;33;3.5;1;1;4
0;35.5;3.5;1;1;4
0;32;3.5;0;1;4
0;41;3.5;0;1;4
0;34;3.5;0;1;4
0;33;3.5;1;1;4
0;36;3.5;0;1;4
0;41;3.5;0;1;4
0;34;3.5;1;1;4
0;31;3.5;0;1;4
0;47;3.5;0;1;4
0;37;3.5;0;1;4
0;31;3.5;0;1;4
0;31;3.5;1;1;4
0;48;3.5;1;1;4
0;47;3.5;1;1;4
0;42;3.5;1;1;4
0;35.5;3.5;0;1;4
2;34;3.5;0;1;4
0;31.5;3.5;0;1;4
0;34;3.5;0;1;4
0;46;3.5;1;1;4
0;31;3.5;0;0;4
